mode1r,mode1i,mode2r,mode2i,other_moder,other_modei,g_phase,time
-0.049663184,0.187128764,-0.049350425,0.188697589,,,0.012516246,
-0.050646141,0.188746424,-0.050327926,0.190334198,,,0.012918325,
-0.051632791,0.190347301,-0.051309131,0.19195402,,,0.013313531,
-0.052622903,0.191931322,-0.052293812,0.193556981,,,0.013700782,
-0.053616247,0.193498418,-0.053281742,0.19514301,,,0.014079321,
-0.054612594,0.195048525,-0.054272692,0.19671204,,,0.014448739,
-0.05561171,0.196581577,-0.055266431,0.198264006,,,0.014808992,
-0.056613363,0.198097517,-0.056262729,0.199798846,,,0.015160404,
-0.05761732,0.199596288,-0.057261354,0.201316503,,,0.015503657,
-0.058623347,0.201077836,-0.058262074,0.202816921,,,0.015839778,
-0.059631208,0.202542113,-0.059264656,0.204300048,,,0.016170105,
-0.060640669,0.20398907,-0.060268866,0.205765837,,,0.016496251,
-0.061651492,0.205418666,-0.061274469,0.207214241,,,0.016820052,
-0.062663442,0.206830859,-0.062281231,0.208645219,,,0.017143509,
-0.063676282,0.208225614,-0.063288917,0.210058732,,,0.017143509,
-0.064689773,0.209602896,-0.064297291,0.211454744,,,0.018164592,
-0.065703678,0.210962676,-0.065306115,0.212833222,,,0.01925845,
-0.066717758,0.212304927,-0.066315154,0.214194138,,,0.020467763,
-0.067731775,0.213629625,-0.067324171,0.215537466,,,0.021807149,
-0.06874549,0.214936751,-0.068332927,0.216863183,,,0.02325569,
-0.069758663,0.216226286,-0.069341186,0.21817127,,,0.024758796,
-0.070771055,0.217498218,-0.07034871,0.219461711,,,0.02623938,
-0.071782427,0.218752536,-0.07135526,0.220734493,,,0.027615773,
-0.072792538,0.219989234,-0.072360599,0.221989606,,,0.028821746,
-0.07380115,0.221208308,-0.073364488,0.223227046,,,0.029823209,
-0.074808023,0.222409757,-0.074366689,0.224446808,,,0.030626808,
-0.075812917,0.223593584,-0.075366964,0.225648893,,,0.031277637,
-0.076815592,0.224759797,-0.076365074,0.226833305,,,0.031846205,
-0.077815809,0.225908404,-0.077360783,0.228000051,,,0.032407746,
-0.07881333,0.227039419,-0.078353851,0.229149141,,,0.033019256,
-0.079807914,0.228152858,-0.079344041,0.230280588,,,0.033700487,
-0.080799324,0.22924874,-0.080331116,0.23139441,,,0.034424324,
-0.08178732,0.230327089,-0.081314838,0.232490627,,,0.035119609,
-0.082771666,0.231387931,-0.08229497,0.233569261,,,0.03568615,
-0.083752122,0.232431295,-0.083271277,0.23463034,,,0.036018319,
-0.084728453,0.233457215,-0.084243522,0.235673894,,,0.036031091,
-0.085700422,0.234465726,-0.08521147,0.236699955,,,0.035681492,
-0.086667792,0.235456867,-0.086174885,0.23770856,,,0.034979393,
-0.087630329,0.236430683,-0.087133533,0.238699748,,,0.033984305,
-0.088587796,0.237387217,-0.08808718,0.239673563,,,0.032788545,
-0.089539961,0.23832652,-0.089035593,0.24063005,,,0.031490895,
-0.09048659,0.239248645,-0.089978539,0.24156926,,,0.030167652,
-0.091427449,0.240153646,-0.090915786,0.242491243,,,0.028848904,
-0.092362308,0.241041583,-0.091847104,0.243396057,,,0.027506719,
-0.093290935,0.241912517,-0.092772262,0.244283759,,,0.026058901,
-0.094213101,0.242766515,-0.09369103,0.245154412,,,0.02438778,
-0.095128576,0.243603645,-0.09460318,0.246008082,,,0.022369437,
-0.096037132,0.244423977,-0.095508486,0.246844836,,,0.019905683,
-0.096938542,0.245227588,-0.096406719,0.247664745,,,0.016950168,
-0.09783258,0.246014555,-0.097297655,0.248467886,,,0.013521314,
-0.098719022,0.24678496,-0.098181069,0.249254334,,,0.009698126,
-0.099597644,0.247538886,-0.099056738,0.250024172,,,0.005599541,
-0.100468222,0.24827642,-0.09992444,0.250777482,,,0.001352453,
-0.101330537,0.248997654,-0.100783954,0.251514353,,,-0.002943184,
-0.102184368,0.24970268,-0.10163506,0.252234873,,,-0.007242715,
-0.103029497,0.250391596,-0.10247754,0.252939136,,,-0.011570712,
-0.103865706,0.2510645,-0.103311177,0.253627237,,,-0.016016222,
-0.104692781,0.251721496,-0.104135754,0.254299277,,,-0.020710155,
-0.105510506,0.252362688,-0.104951059,0.254955356,,,-0.02579044,
-0.106318668,0.252988186,-0.105756878,0.255595579,,,-0.031364149,
-0.107117058,0.2535981,-0.106552999,0.256220055,,,-0.0374768,
-0.107905465,0.254192545,-0.107339214,0.256828894,,,-0.044097393,
-0.10868368,0.254771638,-0.108115313,0.25742221,,,-0.051123663,
-0.109451499,0.255335499,-0.108881091,0.258000119,,,-0.058406632,
-0.110208716,0.255884252,-0.109636341,0.25856274,,,-0.065788261,
-0.110955128,0.256418022,-0.110380862,0.259110196,,,-0.073142283,
-0.111690535,0.256936938,-0.111114452,0.259642612,,,-0.080407193,
-0.112414737,0.257441131,-0.11183691,0.260160115,,,-0.087602216,
-0.113127536,0.257930735,-0.112548039,0.260662835,,,-0.094821516,
